lucode,LULC_desc,load_n,load_p,eff_n,eff_p,crit_len_n,crit_len_p,proportion_subsurface_n,,,,,,, 
55,InlandMarsh,5,1.9,0.8,0.4,150,150,0,,,,,,,
56,MaritimeWetland,5,1.9,0.8,0.4,150,150,0,,,,,,,
57,ArtificialSurface,7,2,0.05,0.52,150,150,0,,,,,,,
58,MoorAndHeathland,6,0.1,0.6,0.5,150,150,0,,,,,,,
59,StillWaterBody,0,0.6,0.02,0.05,150,150,0,,,,,,,
60,Shrubland,6,0.1,0.6,0.5,150,150,0,,,,,,,
61,Mangrove,5,1.9,0.8,0.4,150,150,0,,,,,,,
62,Shrubland,6,0.1,0.6,0.5,150,150,0,,,,,,,
63,Shrubland,6,0.1,0.6,0.5,150,150,0,,,,,,,
64,SclerophyllousVegetation,6,0.1,0.6,0.5,150,150,0,,,,,,,
65,BambooForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
66,Grassland,7.5,0.4,0.4,0.5,150,150,0,,,,,,,
67,ForestPlantation,5,1.3,0.8,0.84,150,150,0,,,,,,,
68,MoorAndHeathland,6,0.1,0.6,0.5,150,150,0,,,,,,,
69,ArtificialSurface,7,2,0.05,0.52,150,150,0,,,,,,,
70,Watercourse,0,0.6,0.02,0.05,150,150,0,,,,,,,
71,Grassland,7.5,0.4,0.4,0.5,150,150,0,,,,,,,
72,OpenSavanna,6,0.1,0.6,0.5,150,150,0,,,,,,,
73,SparseShrubCover,6,0.6,0.3,0.05,150,150,0,,,,,,,
74,InlandWetland,5,1.9,0.8,0.4,150,150,0,,,,,,,
75,SclerophyllousVegetation,6,0.1,0.6,0.5,150,150,0,,,,,,,
